Transmission Substation (330kV),Substation (132kV),Region,Area Office,33kV Feeder,11kV Feeder,Band,Mapping
Kaduna 330kV,Kaduna Town 132kV,KADUNA,BARNAWA,33kV NARAYI,11KV HIGH COST,A,Confirmed (TCN)
Kaduna 330kV,Kaduna Town 132kV,KADUNA,BARNAWA,33kV NARAYI,11KV VILLAGE,B,Confirmed (TCN)
Kaduna 330kV,Kaduna Town 132kV,KADUNA,BARNAWA,33kV UGWAN BORO,11KV KACHIA,E,Confirmed (TCN)
Kaduna 330kV,Kaduna Town 132kV,KADUNA,BARNAWA,33kV UGWAN BORO,11KV MAHUTA,C,Confirmed (TCN)
Kaduna 330kV,Kaduna Town 132kV,KADUNA,BARNAWA,33kV UGWAN BORO,11KV PAMA,B,Confirmed (TCN)
Kaduna 330kV,Kaduna Town 132kV,KADUNA,BARNAWA,33kV UGWAN BORO,11KV SABON TASHA,C,Confirmed (TCN)
Kaduna 330kV,Kaduna Town 132kV,KADUNA,DOKA,33kV INDP WAY,11KV CONSTITUTION ROAD,A,Confirmed (TCN)
Kaduna 330kV,Kaduna Town 132kV,KADUNA,DOKA,33kV INDP WAY,11KV COSTAIN,D,Confirmed (TCN)
Kaduna 330kV,Kaduna Town 132kV,KADUNA,DOKA,33kV INDP WAY,11KV TEACHING HOSPITAL DKA,A,Confirmed (TCN)
Kaduna 330kV,Kaduna Town 132kV,KADUNA,MAKERA,33kV AREWA,11KV BARNAWA,B,Confirmed (TCN)
Kaduna 330kV,Kaduna Town 132kV,KADUNA,MAKERA,33kV AREWA,11KV KAKURI,B,Confirmed (TCN)
Kaduna 330kV,Kaduna Town 132kV,KADUNA,MAKERA,33kV AREWA,11KV NASSARAWA MKR,A,Confirmed (TCN)
Kaduna 330kV,Kaduna Town 132kV,KADUNA,MAKERA,33kV AREWA,11KV NORTEX,B,Confirmed (TCN)
Kaduna 330kV,Kaduna Town 132kV,KADUNA,MAKERA,33kV GONIN GORA,11KV FEDERAL HOUSING,B,Confirmed (TCN)
